Vertex
129,
1,
131,
3,
5,
133,
7,
135,
137,
9,
139,
11,
141,
13,
143,
15,
17,
145,
19,
147,
149,
21,
23,
151,
153,
25,
27,
155,
29,
31,
33,
35,
37,
39,
41,
43,
45,
47,
49,
51,
53,
55,
57,
59,
61,
63,
65,
67,
69,
71,
73,
75,
77,
79,
81,
83,
85,
87,
89,
91,
93,
95,
97,
99,
101,
103,
105,
107,
109,
111,
113,
115,
117,
119,
121,
123,
125,
127,
